index,subset,input,reference,prediction_a,prediction_b,same_prediction,exact_a,exact_b,sentence_chrf_a,sentence_chrf_b,chrf_winner,judge_overall_a,judge_overall_b,judge_winner
10,disagree_title_suffix,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禪定安住勝法要門,默有惡隨作在使順要論,False,False,False,4.4643,15.119,final_gap04_multitask_sigmoid,3,2,frontier_deepseek_v32_fewshot_cot
11,disagree_no_title_suffix,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代照言集文,三代此語言集文,False,False,False,16.3072,15.7823,frontier_deepseek_v32_fewshot_cot,2,2,tie
12,disagree_title_suffix,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,先流多義無同觀法大鳳凰説清經,過去多聞比丘多義不共觀順大孔雀經清□淨,False,False,False,11.0606,8.868,frontier_deepseek_v32_fewshot_cot,2,1,frontier_deepseek_v32_fewshot_cot
13,disagree_no_title_suffix,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本一切説類目逃迦經,根本一切有説部雜阿毘達磨異相註疏,False,False,False,20.3741,42.719,final_gap04_multitask_sigmoid,2,1,frontier_deepseek_v32_fewshot_cot
14,disagree_no_title_suffix,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提勇猛大勇猛無量菩薩眾歸依敬禮,菩提勇識大勇識差曰諦意解生等之隨順禮拜,False,False,False,13.9895,28.4175,final_gap04_multitask_sigmoid,2,1,frontier_deepseek_v32_fewshot_cot
15,disagree_title_suffix,𗏇𘉅,雜字,雜字,記異,False,True,False,100.0,0.0,frontier_deepseek_v32_fewshot_cot,5,2,frontier_deepseek_v32_fewshot_cot
16,disagree_no_title_suffix,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深廣二入七支法事,廣二入勝七部法事,False,False,False,16.8367,10.9694,frontier_deepseek_v32_fewshot_cot,3,2,frontier_deepseek_v32_fewshot_cot
17,disagree_no_title_suffix,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩薩藝行兩輩綱紀,菩薩業之二種綱,False,False,False,8.2567,42.2449,final_gap04_multitask_sigmoid,2,2,tie
18,disagree_title_suffix,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮減菩薩問經,佛説遮障現意解難問經,False,False,False,23.7325,11.2484,frontier_deepseek_v32_fewshot_cot,2,2,tie
19,disagree_title_suffix,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德宜點義句顯宣論,正理滴之句義顯了,False,False,False,5.3571,68.3163,final_gap04_multitask_sigmoid,2,4,final_gap04_multitask_sigmoid
20,same_prediction,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,集頌般若波羅蜜多經,集頌般若波羅蜜多經,True,True,True,100.0,100.0,tie,5,5,tie
21,disagree_no_title_suffix,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金剛亥母淨瓶親近行儀,金剛王亥母隨書卷折近便作順,False,False,False,11.8241,30.3749,final_gap04_multitask_sigmoid,2,2,tie
22,disagree_no_title_suffix,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集輪供養儀次,集轉供養作順次,False,False,False,16.3072,15.7823,frontier_deepseek_v32_fewshot_cot,3,3,tie
23,disagree_title_suffix,𗵒𗒛𘁨,金乘序,金乘序,金乘根,False,True,False,100.0,29.1667,frontier_deepseek_v32_fewshot_cot,5,2,frontier_deepseek_v32_fewshot_cot
24,same_prediction,𗩾𗨁𗉣𗖰𗚩,最上意經,最上意經,最上意經,True,True,True,100.0,100.0,tie,5,5,tie
25,disagree_title_suffix,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,佛説壽量品觀藥師經疏,佛説壽壽無量佛觀經藥師疏,False,False,False,5.8615,10.5351,final_gap04_multitask_sigmoid,1,1,tie
26,disagree_no_title_suffix,𗼑𗼑𗫉𗊱,月月樂詩,月月樂詩,月月圓詩,False,True,False,100.0,21.6667,frontier_deepseek_v32_fewshot_cot,5,2,frontier_deepseek_v32_fewshot_cot
27,disagree_title_suffix,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,勝慧彼岸至要門教習實如現解莊嚴論顯頌,勝慧彼岸到要論教學現量解莊嚴顯頌,False,False,False,30.8509,71.2913,final_gap04_multitask_sigmoid,3,3,tie
28,disagree_no_title_suffix,𗢭𗵫𗴿𗒀𗺉,九曜供養根,九曜供養根本典,九種供養根,False,False,False,72.1295,27.2222,frontier_deepseek_v32_fewshot_cot,2,2,tie
29,disagree_title_suffix,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,二十一賢面咒心經,十一面觀自在經,False,False,False,21.5655,15.7823,frontier_deepseek_v32_fewshot_cot,2,2,tie
30,disagree_no_title_suffix,𗙏𘙰,同音,同音,鏡同,False,True,False,100.0,16.6667,frontier_deepseek_v32_fewshot_cot,5,1,frontier_deepseek_v32_fewshot_cot
31,disagree_no_title_suffix,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,金剛燈炬心要總持,金剛王燈心以面持西,False,False,False,15.7927,19.3811,final_gap04_multitask_sigmoid,2,3,final_gap04_multitask_sigmoid
32,disagree_title_suffix,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,七佛説賢咒經,七佛説智慧炬經,False,False,False,24.0476,18.1146,frontier_deepseek_v32_fewshot_cot,2,2,tie
33,disagree_no_title_suffix,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,新集掌上碎金,新集金剛王字置文,False,False,False,15.4307,12.2249,frontier_deepseek_v32_fewshot_cot,3,2,frontier_deepseek_v32_fewshot_cot
34,disagree_title_suffix,𗿢𗖵𘄴𗰖𘕕𘄿𗾖𗪐𗣼𗹙𘂤𘃽𗡶,統依要集三品子□正法中入順,敕纂要三品君子德法容入則,勅隨要集三乘篇男子正法 Keys to Entry and Exit,False,False,False,7.9071,9.1188,final_gap04_multitask_sigmoid,2,1,frontier_deepseek_v32_fewshot_cot
35,disagree_no_title_suffix,𗫡𗾈,到賢,五台山觀音普賢殿寺,達賢,False,False,False,9.8039,16.6667,final_gap04_multitask_sigmoid,1,3,final_gap04_multitask_sigmoid
36,disagree_no_title_suffix,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,世界出七道法事,世出七道法事,False,False,False,31.041,32.381,final_gap04_multitask_sigmoid,2,2,tie
37,disagree_title_suffix,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,聖六字增壽太陰王陀羅尼經,聖六祖壽無大悲大陀羅尼經,False,False,False,30.3716,19.1631,frontier_deepseek_v32_fewshot_cot,3,1,frontier_deepseek_v32_fewshot_cot
38,disagree_no_title_suffix,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,壞劫超聖柔守護國吉祥執掌嘆譽經,壞有渡聖柔吉祥之供養受讚頌經,False,False,False,8.1321,26.7505,final_gap04_multitask_sigmoid,2,2,tie
39,disagree_no_title_suffix,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,華嚴法界觀綱,蓮華法界觀門,False,False,False,50.7143,18.8095,frontier_deepseek_v32_fewshot_cot,2,2,tie
40,disagree_no_title_suffix,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,番,番言金剛王乘根,False,False,True,8.6207,100.0,final_gap04_multitask_sigmoid,1,5,final_gap04_multitask_sigmoid
41,disagree_no_title_suffix,𗴮𘊳,類林,類林,寺廟,False,True,False,100.0,0.0,frontier_deepseek_v32_fewshot_cot,5,1,frontier_deepseek_v32_fewshot_cot
42,same_prediction,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,金剛般若略記文,金剛般若略記文,True,True,True,100.0,100.0,tie,5,5,tie
43,disagree_title_suffix,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,金剛禪定母俱輪轉記,金剛王默有母隨集轉記為順次,False,False,False,6.6852,44.8958,final_gap04_multitask_sigmoid,2,2,tie
44,same_prediction,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,佛説父母恩重經,佛説父母恩重經,True,True,True,100.0,100.0,tie,5,5,tie
45,disagree_title_suffix,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,大白傘蓋佛母總持誦要門,大蓋白母之總持門順要論,False,False,False,14.8341,51.9666,final_gap04_multitask_sigmoid,3,4,final_gap04_multitask_sigmoid
46,disagree_no_title_suffix,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,德宜滴殊作,正理滴要甚作,False,False,False,5.7471,16.4286,final_gap04_multitask_sigmoid,2,2,tie
47,disagree_title_suffix,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,地藏菩薩本願經,土藏識決定本母經典,False,True,False,100.0,5.7915,frontier_deepseek_v32_fewshot_cot,5,1,frontier_deepseek_v32_fewshot_cot
48,disagree_title_suffix,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,道間禁斷法要門,道之中禁斷順要論,False,False,False,5.4945,17.432,final_gap04_multitask_sigmoid,2,2,tie
49,disagree_title_suffix,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,彌勒菩薩知足天上生觀經,聞慧命圓滿知天位生經院事,False,False,False,29.1212,3.5714,frontier_deepseek_v32_fewshot_cot,2,1,frontier_deepseek_v32_fewshot_cot
