id,source,reference,frontier,mt_sft,unk_sft,dpo_candidate,selector_output,chosen_method,exact,chrf,contamination,truncation,over_expansion,title_suffix_error,numeral_error,over_modernization,unsupported_narrativization,false_cultural_specificity,interpretive_substitution,selector_action,switch_reason,audit_needed
37,𗯨𗣈𗒹𗵘𗹙𘅫,世離七道法事,世界出七道法事,寺出七道法事,世出七道法事,世出七道法事,世界出七道法事,frontier,0,31.041,0,0,0,0,0,0,0,0,0,keep_frontier,,0
38,𗼃𗤁𗏇𘗽𘎲𘜶𗶈𘟙𗁬𗓽𘆵𗖰𗚩,聖六字壽增大蔭王陀羅尼經,聖六字增壽太陰王陀羅尼經,聖六祖壽無量大陀羅尼經,聖六種壽無量大蔭王總持經,聖六祖壽無大悲大陀羅尼經,聖六字增壽太陰王陀羅尼經,frontier,0,30.3716,0,0,0,0,0,0,0,0,0,keep_frontier,,0
39,𗯵𘟣𗰛𗼃𗡡𘀄𘓄𗗙𗪲𗒐𗡙𗜓,壞有出聖柔吉祥之攝受讚顯,壞劫超聖柔守護國吉祥執掌嘆譽經,壞有渡勝igesia̘ 慈悲加讚,壞有渡母吉祥之名誦受承順,壞有渡聖柔吉祥之供養受讚頌經,壞有渡聖柔吉祥之供養受讚頌經,dpo,0,26.7505,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
40,𗤻𗵽𗹙𗐯𘝯𗆔,華嚴法界觀幹,華嚴法界觀綱,蓮華法界見在綱,蓮華法事曰,蓮華法界觀門,蓮華法界觀門,dpo,0,18.8095,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
41,𗼇𗟲𗍥𘟙𗒛𗺉,番言金剛王乘根,番,番言金剛王乘根,番言金剛王乘根,番言金剛王乘根,番言金剛王乘根,unk_sft,1,100.0,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
42,𗴮𘊳,類林,類林,《类林》,名林,寺廟,類林,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
43,𗵒𘗁𘄒𘎑𘓋𘐇𘝞,金剛般若略記文,金剛般若略記文,金剛般若略記文,金剛般若略計文,金剛般若略記文,金剛般若略計文,unk_sft,0,42.2449,0,0,0,1,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
44,𗍥𘟙𘝳𗥔𗴺𗖵𗄭𘚢𘐇𘃡𗡶𘐡,金剛王默有母隨集輪求記作順次,金剛禪定母俱輪轉記,金剛王默有母隨集輪轉生順次,金剛王默有母隨集了定作順次,金剛王默有母隨集轉記為順次,金剛王默有母隨集了定作順次,unk_sft,0,47.2226,0,0,0,1,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
45,𗢳𘎪𗔀𗴺𘘖𗊢𗖰𗚩,佛説父母恩重經,佛説父母恩重經,佛説父母恩重經,佛説父母孝經,佛説父母恩重經,佛説父母孝經,unk_sft,0,27.613,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
46,𘜶𗐋𗴂𗴺𗗙𗄊𗧯𘆖𗡶𘄴𗑾,大蓋白母之總持誦順要論,大白傘蓋佛母總持誦要門,大蓋白母之總持門順要論,大蓋白母之總持順要論,大蓋白母之總持門順要論,大蓋白母之總持門順要論,dpo,0,51.9666,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
47,𗣼𗟭𘞫𘈃𘍳𘃨,正理滴特殊造,德宜滴殊作,正理滴第一造,正理滴第一義釋,正理滴要甚作,正理滴要甚作,dpo,0,16.4286,0,0,0,0,0,0,0,0,0,sparse_guarded_switch,sparse_guarded_switch,1
48,𗼻𗔇𘋢𗥤𗰜𘓞𗖰𗚩,地藏菩薩本願經,地藏菩薩本願經,師道滿隨本願經,土地一切形影經典,土藏識決定本母經典,地藏菩薩本願經,frontier,1,100.0,0,0,0,0,0,0,0,0,0,keep_frontier,,0
49,𗵘𗗙𘂳𗖈𗷰𗡶𘄴𗑾,道之間休止順要論,道間禁斷法要門,道家之經律韻集要論,道果語錄註 selvā疏,道之中禁斷順要論,道間禁斷法要門,frontier,0,5.4945,0,0,0,1,0,0,0,0,0,keep_frontier,,1
50,𗓁𗱈𘋢𗥤𗣷𗄻𘓺𗨁𘎳𘝯𗖰𗚩,觀彌勒菩薩足知皇上生觀經,彌勒菩薩知足天上生觀經,闻虎命解足知天上生观经道,文虎命解足知天子相誦經,聞慧命圓滿知天位生經院事,彌勒菩薩知足天上生觀經,frontier,0,29.1212,0,0,0,0,0,0,0,0,0,keep_frontier,,0
